Price_Category,Count,Actual_0,Actual_1,Predicted_0,Predicted_1,True_Negative,True_Positive,False_Negative,False_Positive,Accuracy,Precision,Recall,F1,Roc_Auc,Actual_high_clarity_rate,Predicted_high_clarity_rate
0-1500,3925.0,2088.0,1837.0,2068.0,1857.0,1929.0,1698.0,139.0,159.0,0.9240764331210191,0.9143780290791599,0.9243331518780621,0.9193286410395235,0.9772111993359155,0.46802547770700637,0.47312101910828025
1500-3000,2131.0,1393.0,738.0,1406.0,725.0,1288.0,620.0,118.0,105.0,0.8953542937587987,0.8551724137931035,0.8401084010840109,0.8475734791524265,0.9547631693115208,0.34631628343500703,0.340215861098076
3000-4500,1332.0,1060.0,272.0,1092.0,240.0,1020.0,200.0,72.0,40.0,0.9159159159159159,0.8333333333333334,0.7352941176470589,0.78125,0.9645428690344063,0.2042042042042042,0.18018018018018017
4500-6000,1060.0,939.0,121.0,969.0,91.0,913.0,65.0,56.0,26.0,0.9226415094339623,0.7142857142857143,0.5371900826446281,0.6132075471698113,0.9617933620257176,0.11415094339622642,0.08584905660377358
6000-7500,617.0,458.0,159.0,475.0,142.0,429.0,113.0,46.0,29.0,0.8784440842787682,0.795774647887324,0.710691823899371,0.7508305647840532,0.9265743868611134,0.2576985413290113,0.23014586709886548
7500-9000,438.0,253.0,185.0,243.0,195.0,224.0,166.0,19.0,29.0,0.8904109589041096,0.8512820512820513,0.8972972972972973,0.8736842105263158,0.950389915607307,0.4223744292237443,0.4452054794520548
9000-10500,317.0,188.0,129.0,184.0,133.0,168.0,113.0,16.0,20.0,0.886435331230284,0.849624060150376,0.875968992248062,0.8625954198473282,0.9639617351146298,0.4069400630914827,0.4195583596214511
10500-12000,255.0,150.0,105.0,154.0,101.0,142.0,93.0,12.0,8.0,0.9215686274509803,0.9207920792079208,0.8857142857142857,0.9029126213592233,0.9765079365079365,0.4117647058823529,0.396078431372549
12000-13500,207.0,144.0,63.0,149.0,58.0,139.0,53.0,10.0,5.0,0.927536231884058,0.9137931034482759,0.8412698412698413,0.8760330578512396,0.9673721340388006,0.30434782608695654,0.28019323671497587
13500-15000,161.0,115.0,46.0,114.0,47.0,109.0,41.0,5.0,6.0,0.9316770186335404,0.8723404255319149,0.8913043478260869,0.8817204301075269,0.9703213610586012,0.2857142857142857,0.2919254658385093
15000-16500,157.0,115.0,42.0,118.0,39.0,112.0,36.0,6.0,3.0,0.9426751592356688,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.949896480331263,0.267515923566879,0.2484076433121019
16500-18000,126.0,99.0,27.0,109.0,17.0,96.0,14.0,13.0,3.0,0.873015873015873,0.8235294117647058,0.5185185185185185,0.6363636363636364,0.9427609427609427,0.21428571428571427,0.1349206349206349
18000-18823,62.0,50.0,12.0,52.0,10.0,50.0,10.0,2.0,0.0,0.967741935483871,1.0,0.8333333333333334,0.9090909090909091,0.94,0.1935483870967742,0.16129032258064516
