Model,Model_type,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_ROC_AUC,Accuracy,Precision,Recall,F1,ROC_AUC,Fit_time,Pred_time,Tun_Train_Accuracy,Tun_Train_Precision,Tun_Train_Recall,Tun_Train_F1,Tun_Train_ROC_AUC,Tun_Accuracy,Tun_Precision,Tun_Recall,Tun_F1,Tun_ROC_AUC,Tun_fit_time,Tun_pred_time,Full_model_time
Stacking Classifier,Advanced ensemble,0.9658416759362254,0.9577330796412068,0.9429947812123645,0.9503067898321084,0.9964469196104486,0.9040600667408232,0.8767085076708507,0.8412740899357601,0.8586258707826799,0.9617553481570372,0:01:26,0:00:04,0.9596310715609937,0.9499727371864777,0.932557205941389,0.9411844148828415,0.9935427232190794,0.9122172784575454,0.8815321477428181,0.8624197002141327,0.8718711946962522,0.9682386942638411,0:09:25,0:00:11,0:11:08
Voting Classifier,Advanced ensemble,0.9438032999629218,0.954746858429578,0.8794326241134752,0.9155434820464597,0.9918249079892132,0.885706340378198,0.8809741248097412,0.7746252676659529,0.8243839908844894,0.9510446487457506,0:00:11,0:00:03,0.9520068594734891,0.9510896223109803,0.9081359561086578,0.929116610192696,0.9914349840901637,0.9117538005190953,0.8956793632745879,0.8434154175588865,0.8687620623104494,0.9672879335641871,0:00:44,0:00:08,0:01:07
LightGBM Classifier,Boosting ensemble,0.9053578049684835,0.9034318823354628,0.8137294259333601,0.8562376795268938,0.9653109261364263,0.8913607712272896,0.8783943329397875,0.7965738758029979,0.8354856822010107,0.9562264634632179,0:00:01,0:00:00,0.9451010381905821,0.9376435381724546,0.9014452027298274,0.9191881289442265,0.9864731034987674,0.9100852799406748,0.8863128491620111,0.849304068522484,0.8674138873701476,0.9648873662277532,0:04:43,0:00:01,0:04:46
Bagging Classifier,Advanced ensemble,1.0,1.0,1.0,1.0,1.0,0.9100852799406748,0.8876121076233184,0.8476980728051392,0.867196056955093,0.964443432452227,0:00:10,0:00:04,0.9983314794215795,0.9985252714841132,0.9966546233105847,0.9975890704527189,0.9999910785210743,0.9102706711160549,0.891624221844935,0.8434154175588865,0.866850068775791,0.9665008392838272,0:13:58,0:00:06,0:14:19
Extra Trees Classifier,Tree-based ensemble,1.0,1.0,1.0,1.0,1.0,0.8760659992584353,0.8653670423393238,0.7604389721627409,0.8095170252172674,0.9400757344340784,0:00:01,0:00:01,0.9850528364849833,0.9856027164685909,0.9710290378696641,0.9782616022378754,0.9990225323111013,0.9080459770114943,0.8862612612612613,0.8426124197002142,0.8638858397365532,0.9635699881941551,0:34:54,0:00:02,0:34:59
Hist Gradient Boosting Classifier,Boosting ensemble,0.9051724137931034,0.9042157008788917,0.8122574601900174,0.8557732976173692,0.9647567103920186,0.8934000741564702,0.8796241926012919,0.8019271948608137,0.8389806776813218,0.955898200701792,0:00:02,0:00:01,0.9401186503522432,0.9336326645152238,0.8904054596547571,0.9115068493150685,0.9843503193073451,0.907304412309974,0.88276440962507,0.8444860813704497,0.8632010943912448,0.9634930702909316,0:01:56,0:00:03,0:02:02
CatBoost Classifier,Boosting ensemble,0.8355116796440489,0.8377517645033569,0.6512110263615684,0.7327962656226472,0.908790319664489,0.8299035965888024,0.8274199104374784,0.642933618843683,0.7236029522518451,0.9041202679453093,0:00:03,0:00:00,0.9440118650352243,0.9408866995073891,0.894553726749632,0.9171354095211963,0.9862743449985859,0.907026325546904,0.885255145193121,0.8404710920770878,0.8622820266373747,0.9641619884589364,0:18:06,0:00:00,0:18:11
Random Forest Classifier,Tree-based ensemble,0.9415786058583612,0.9033828972144666,0.9308845175966813,0.9169275381421558,0.9871561232434211,0.8807007786429366,0.8259249401117913,0.8305674518201285,0.8282396903776859,0.946997814339729,0:00:02,0:00:01,0.9499212087504635,0.9469967135165374,0.9061287300950087,0.9261120798714398,0.9920319735936749,0.9063774564330738,0.8876564277588168,0.8353854389721628,0.8607280750137893,0.9642720419799811,0:16:10,0:00:00,0:16:15
Gradient Boosting Classifier,Boosting ensemble,0.8424638487208009,0.8492798353909465,0.662786029706945,0.744532130777903,0.913715051938758,0.8344456803856136,0.8355127322780455,0.6498929336188437,0.7311050888286661,0.9059468831112045,0:00:10,0:00:00,0.9280218761586948,0.9218326920336326,0.8655827646192962,0.8928226363008972,0.9768151435598084,0.9028550241008528,0.8816013628620102,0.8311027837259101,0.8556076054009369,0.9623238156806397,0:06:38,0:00:01,0:06:50
AdaBoost Classifier,Boosting ensemble,0.7973906192065258,0.8093148499052558,0.5429546366920915,0.6499018940455692,0.871097013086958,0.7935669262143122,0.7976331360946746,0.541220556745182,0.6448732259607718,0.8640587746152473,0:00:05,0:00:02,0.953605858361142,0.9496942745969983,0.9144921718185468,0.9317608562274183,0.9927333154609614,0.9009084167593623,0.8725901089689857,0.8359207708779444,0.8538619275461381,0.9615325082804886,0:38:04,0:00:13,0:38:25
XGBoost Classifier,Boosting ensemble,0.83931219873934,0.8465997577435542,0.6546902181185601,0.7383791125867794,0.9111696871079595,0.8342602892102335,0.8349381017881705,0.6498929336188437,0.7308850090307044,0.9037613177302656,0:00:00,0:00:00,0.9152067111605487,0.9077968061276104,0.8405593469824703,0.8728851832551676,0.969320377770857,0.899981460882462,0.8816432059752944,0.8214668094218416,0.8504918941388389,0.9596842961311567,0:02:57,0:00:00,0:02:58
MLP Classifier,Neural,0.8613505747126436,0.8184014209591475,0.7707078817074803,0.7938389442128114,0.9311844178193925,0.8626251390433816,0.8149804359977642,0.7805139186295503,0.7973748974569319,0.9327195134097152,0:00:08,0:00:00,0.9114525398591027,0.8694295012286644,0.875886524822695,0.8726460687264607,0.968632737169796,0.8952539859102707,0.8423541776142932,0.8581370449678801,0.8501723680721294,0.9534083228169814,0:19:57,0:00:03,0:20:10
Decision Tree Classifier,Tree-based,1.0,1.0,1.0,1.0,1.0,0.871431219873934,0.8144578313253013,0.8142398286937902,0.8143488154196226,0.85798491718297,0:00:00,0:00:00,0.9103865406006674,0.897011395398839,0.8374146928944199,0.8661891414927853,0.9555509313782045,0.885613644790508,0.8574285714285714,0.8032655246252677,0.8294637921503594,0.9375208758187875,0:00:57,0:00:00,0:00:58
SVC (RBF),SVM / margin-based,0.8523591027067111,0.8149562917799162,0.7422721798474509,0.7769179593123009,0.9285100165222658,0.8531701890989989,0.8153575615474795,0.7446466809421841,0.7783995523223279,0.9270968203774712,0:01:47,0:08:02,0.8691370040786058,0.840997433076641,0.7672286899504884,0.8024211889017179,0.938376491420545,0.8665183537263627,0.8360655737704918,0.7644539614561028,0.7986577181208053,0.9356168113651905,2:17:18,0:07:11,2:34:19
Extra Tree Classifier,Tree-based,1.0,1.0,1.0,1.0,1.0,0.7881905821282907,0.6961340902946742,0.6892398286937902,0.6926698049764627,0.7649262104331118,0:00:00,0:00:00,0.885706340378198,0.8600086281276963,0.8002810116419109,0.8290704928259514,0.950831020699074,0.8589173155357805,0.8204979733642154,0.7585653104925053,0.788317107093185,0.9206297953653557,0:00:58,0:00:00,0:00:59
SGD Classifier,Logistic / regularized linear,0.7724555061179088,0.688119175166948,0.6273919443329319,0.6563539005354706,0.8387520868693678,0.7731738969225065,0.6889475227206098,0.6290149892933619,0.6576185812228907,0.8401311957911921,0:00:00,0:00:00,0.7642055988134965,0.6208766151507474,0.8198180115080959,0.7066116893976528,0.8447101213900876,0.7663144234334446,0.622356495468278,0.8270877944325482,0.7102631881392943,0.8462392326322298,0:03:46,0:00:00,0:03:47
