Model,Model_type,Train_MAE,Train_RMSE,Train_R2,MAE,RMSE,R2,Fit_time,Pred_time,Tun_Train_MAE,Tun_Train_RMSE,Tun_Train_R2,Tun_MAE,Tun_RMSE,Tun_R2,Tun_fit_time,Tun_pred_time,Full_model_time
Voting,Advanced ensemble,208.1087466372648,386.4579228794478,0.9906156913995096,267.1974026835582,525.4426055317591,0.9826547588785939,0:00:00,0:00:00,208.1087466372648,386.4579228794478,0.9906156913995096,267.1974026835582,525.4426055317591,0.9826547588785939,0:00:00,0:00:00,0:00:00
Stacking,Advanced ensemble,204.8988278422714,380.4187711916484,0.9909066956469554,266.5031589917258,525.5094172342508,0.982650347592741,0:00:00,0:00:00,204.89882784995254,380.4187712069456,0.990906695646224,266.503158992678,525.509417233794,0.9826503475927711,0:00:00,0:00:00,0:00:00
CatBoost,Boosting ensemble,280.8160146753741,503.5673998263234,0.984066431053111,301.91855845426414,565.7846791839464,0.979889070743831,0:00:00,0:00:00,224.00650145132184,390.1829195974166,0.9904339122904288,275.41150964749426,539.2401207025896,0.981731866923138,0:00:00,0:00:00,0:00:00
Gradient Boosting,Boosting ensemble,394.16034577833324,711.0557805706705,0.9682308794101651,410.9420549893103,757.7802283949796,0.9639241716757121,0:00:00,0:00:00,191.9594650835923,363.1791844006617,0.9917121907224109,270.21812148400943,540.6274935701049,0.9816377444162704,0:00:00,0:00:00,0:00:00
Extra Trees,Tree-based ensemble,239.06562678865092,449.22969879840633,0.9873195469527961,320.02381918458616,618.2407986322467,0.9759870733106358,0:00:00,0:00:00,167.43155378826316,317.42495683292316,0.9936688881117538,274.3407936321554,542.9137559566776,0.9814821115582733,0:00:00,0:00:00,0:00:00
MLP,Neural,284.39767720039805,524.7800776010456,0.9826957600274218,299.39231341411454,563.9289616327105,0.9800207780964029,0:00:00,0:00:00,260.9920580565824,487.42459545611547,0.9850716183246441,287.0501689620281,546.2098988999097,0.9812565770505252,0:00:00,0:00:00,0:00:00
LightGBM,Boosting ensemble,267.4343259149171,481.7700116380425,0.9854159757763403,291.7046495481839,556.2062884768843,0.9805642384804615,0:00:00,0:00:00,239.94808164521982,430.8209662155695,0.9883375039096551,280.25941638264277,546.9112255871386,0.9812084135078009,0:00:00,0:00:00,0:00:00
Bagging,Advanced ensemble,121.53339097233258,248.54583800878768,0.9961183994510875,277.24484989715205,561.608711923364,0.9801848463424002,0:00:00,0:00:00,133.2832986379634,270.4705199843248,0.9954033893145692,276.3248034088435,557.9200707870582,0.9804442830600316,0:00:00,0:00:00,0:00:00
XGBoost,Boosting ensemble,265.03826904296875,483.9072741755387,0.985286295413971,298.7086486816406,580.6751727515135,0.978816568851471,0:00:00,0:00:00,211.66189575195312,365.558006682934,0.9916032552719116,280.71490478515625,559.1914084193354,0.9803550839424133,0:00:00,0:00:00,0:00:00
Random Forest,Tree-based ensemble,103.58403894005538,208.1600504119215,0.997277344963874,291.18345696472466,590.6032890990776,0.9780860082081353,0:00:00,0:00:00,170.6711906596834,335.86837626772973,0.9929117980948641,278.86615703026797,559.4448764538892,0.9803372447330291,0:00:00,0:00:00,0:00:00
Hist Gradient Boosting,Boosting ensemble,271.527140785575,494.8879244347462,0.9846109587363316,295.66810660079335,569.1099831150947,0.9796519788687676,0:00:00,0:00:00,234.40565479943157,420.40999086911586,0.988894351927183,286.2927101237016,567.6430071399432,0.9797567445108131,0:00:00,0:00:00,0:00:00
